"Date","Country","Rating","Title","Review","Page"
"October 15, 2018","the United States","4","Love the Dot and its new look, but the sound is still disappointing","I've been a happy owner of a 2nd generation Echo and three 2nd generation Echo Dots for a year now, and I was glad to add this to the arsenal.After using it for a few days I am generally pleased with it, but it does have limitations, especially when it comes to sound quality (no surprise there!).I will start by summarizing what's new about the 3rd Generation Dot, then I'll describe the device in more detail, and finally I'll add some thoughts about how to choose which Echo device may be best for you.The most obvious update to the Dot is the new look: it's as if someone took a 2nd generation Dot, inflated it with an air pump, and wrapped the edge in fabric.And it's not bad!What's different/updated in the 3rd Generation Dot:1) It is slightly larger than the 2nd generation device, measuring 3.9"" wide x 1.7"" tall (2nd gen was 3.3"" wide x 1.3"" tall), and the top and bottom edges are more rounded.It is also substantially heavier at nearly twice the weight of the 2nd generation model.2) The 2nd generation Dot came in two color options (black and white), each of which had a shiny plastic exterior that I personally thought looked a little cheap.The 3rd generation Dot has a fabric exterior which gives it a classier appearance, and it's available in three colors: heather grey, sandstone, and charcoal.The fabric and rounded edges give the 3rd generation Dot a much softer look than its predecessor.4) The 3rd generation Dot has a larger speaker (1.6"", versus 1.1"" on the 2nd gen), which is paired with a larger driver as well.I'll talk below about the effect this has on audio quality.5) The placement of the microphones is slightly different: while the 2nd generation had seven small far-field microphones on its top surface; the 3rd generation has four microphones.---------------------------Overall appearance---------------------------I purchased the ""sandstone"" version. The cloth is a polyester woven fabric made up of lighter and darker shades which gives it more visual interest than if it were just a solid, uniform gray. The neutral color blends in with nearly any decor, and the cloth gives the unit a softer look which is great for areas of your house where you don't want something that screams ""I'm a device!""Aside from its larger size and slight convex bulge, the top of the device is nearly identical to that of the 2nd generation Dot: it has four buttons (volume up, volume down, microphone off, and an ""action"" button) and a multi-colored light ring around the top edge that tells you about the Echo's status.The side of the device has an input for the power cable and a 3.5-mm output jack.One notable improvement is the shape of the power cable, which sits flatter against the wall than the 2nd generation Dot's cable (see my photo to see them side by side).This may sound like an insignificant change, but it makes a huge difference if you want to plug the cable into an outlet that is behind a piece of furniture.-------------Setup-------------Setting up the Dot couldn't be easier.You simply plug in the power cable, then use the Alexa app on your phone to connect the Dot to your WiFi network.The app leads you through everything, and the whole process takes less than a minute.Boom.----------------Audio----------------I did a side-by-side audio comparison of the 2nd and 3rd Generation Echo Dots, first with music (orchestral, a jazz combo, and some AC/DC) and then with a few newscasts.Everything does sound better on the 3rd generation Dot, but to be honest, the sound is still pretty anemic.Compared with the 2nd generation Dot, the sound is slightly fuller, not as annoyingly tinny, and has a small amount of bass presence (not much, but the 2nd generation had none).Newscasts and other spoken texts benefit from the fuller sound as well, but the difference is more pronounced with music.Just for fun, I also compared the 3rd generation Dot with my 2nd generation Echo, and THAT'S where I noticed a big difference.Yes, the new Dot sounds a bit better than its predecessor, but they both sound weak compared to the full-sized Echo.(To its credit, Amazon doesn't claim that the Dot has room-filling sound.)I'll be blunt: I really like the Dot, but I don't use it to listen to music.At all.With so many other speaker options out there, there's just no reason to use this as your primary music device.-------------------------Voice recognition-------------------------As I mentioned above, the number of microphones on the top surface has dropped from seven to four.I'm not sure what the rationale for this was, but after testing the Dot's ability to pick up my voice from different distances and angles, I didn't notice a substantial difference in the overall microphone sensitivity compared to the 2nd generation Dot.Like the other Echo devices, though, it seems to have more difficulty detecting voices that come from below it (which happens if I talk to it while I'm on the floor playing with my daughter).-------------------Functionality-------------------The bottom line is that the overall functionality -- what the 3rd generation Dot ""does"" -- is nearly identical to that of the previous generations (and of other Echo devices, or at least the ones without screens).This is largely because the Alexa assistant software on which all Echos operate is run on Amazon's cloud, not your individual device.This means that as Amazon adds new features and updates to Alexa they automatically become available on all Echo devices.So, you can use any of them to:- Stream music via WiFi from multiple sources- Control smart home devices with your voice- Make hands-free calls to other Echo devices or phone numbers in North America- Make purchases from your Amazon Prime account- Listen to news feeds, podcasts, etc.- Do anything else in Alexa's ever-growing skill set, such as make shopping lists, set timers/alarms/reminders, play games, tell you your daily schedule, and any other skills Amazon dreams up for Alexa in the future.If you don't want to use the Dot's built-in speaker, you can connect it to your own speakers via Bluetooth or by using the 3.5-mm output jack.One new feature for the 3rd generation Dot is a little puzzling to me: You can pair two Echo Dots in a ""stereo mode,"" giving you essentially left and right speakers.I tried this briefly and the results were pretty much what I expected: yes, it's stereo, but it's still weak sound!You can also pair an Echo Sub with the Dots, creating a little 2.1 sound system.Frankly, I'm not sure why you would do this; if I were setting up for stereo sound, I would want speakers that are designed for decent audio performance, not two Echo Dots.Alexa's skill set is enormous and always growing.In fact, part of the fun of owning an Echo device is seeing what new skills Amazon comes up with (even if many new skills are just silly or entertaining).I'll mention two of my favorite skills here: the Flash Briefing and the drop-in feature. The flash briefing is fully customizable daily digest of news and other information which you can hear any time by asking ""What's my flash briefing?"" There is a huge list of content you can add to your briefing including news updates, weather forecasts, sports and traffic updates, and educational snippets along with many that are just humorous or entertaining. Using the Alexa phone app or your Echo account page you can select exactly what content you want in your briefing and in what order you want to hear it. For example, I configured mine with news feeds from NPR, BBC, and Reuters. I love having an on-demand synopsis of the latest news from my favorite sources.My other favorite feature, ""drop in,"" essentially opens a two-way communication channel between any two Echo devices, sort of like an intercom. Simply ask Alexa to ""drop in on [the living room, the kitchen...]"" and you are instantly connected. My wife and I use this feature to communicate from opposite ends of the house. You can turn drop-in capability on or off for each of your Echo devices individually, and you can also choose whether each device can drop in with ANY Echo device or only those in your own home.[Note that the drop-in feature is NOT the same thing as Alexa's hands-free calling feature. Hands-free calling allows you to call most phone numbers and Echo devices in the U.S., Mexico, and Canada from your Echo by saying your contact's name or number. Just like with a phone call, the other person must choose to answer your call before you can communicate. By contrast, with the drop-in feature communication is instantly established. For this reason you will probably want to use drop-in only with your closest family and friends, and probably only for certain rooms in your home!]-----------------------------------A few (minor) complaints-----------------------------------Unfortunately this 3rd Generation Dot shares an annoying trait of its predecessors: widely varying volume levels within the daily Flash Briefing. As you listen to the briefing, some components (such as BBC News) come through quietly while others (like Reuters) are much louder.Not a deal-breaker, but slightly annoying.Also, occasionally when Alexa misunderstands a command, you have to ""start over,"" which can be really irritating.For example, if Alexa thinks you asked to turn on a light but you really asked something else, she will repeatedly say ""In which room?"" until you say ""Alexa, stop"" and then start over.I'm guessing this type of thing will improve over time as voice recognition softwarebecomes more advanced.This is really more of an Alexa issue than a Dot issue, but it drives me nuts at times.Finally, I wish the Alexa phone app was easier to use.It works, but its organization is not intuitive and it feels rather clunky to navigate.Again, this is more of an ""Alexa"" issue than a ""Dot"" issue, but still... Hopefully Amazon will continue to make improvements to it!--------------A few tips--------------1) The Dot seems to pick up voices best when placed at or below eye level (i.e., roughly the level from which your voice emits). Mine has trouble detecting voices coming from below it, so I don't recommend placing this on a high shelf.2) When you select news feeds for your Flash briefing I recommend picking one U.S. source and one international source (I use NPR and BBC - both are excellent). If you add too many feeds you'll get a lot of overlap and hear the same story several times.3) If you have multiple Echo devices in your home, sometimes speaking to one will cause others to respond as well, especially if they are in close proximity (like in adjacent rooms). One way to prevent this is to change the wake word of one of the devices to ""Echo"" or ""Amazon."" The only downside is that you then have to remember which wake word you assigned to each device!------------------------------------------------------------------------Echo Dot vs. Echo vs. Echo Plus: Which one to buy?------------------------------------------------------------------------(Please note that I am only comparing Echo devices that do NOT have screens.)When choosing between the Echo Dot and one of the larger Echo devices, perhaps the most important question to ask is ""How much do you plan to LISTEN to the device?""This question is important because one of the biggest differences between the Echo Dot and the larger Echo devices is sound quality: the 1.6"" speaker of the Dot simply cannot match the fullness and heft of the Echo or Echo Plus.(Remember, they all run on the same Alexa software, which means they all have nearly identical skill sets!)So, if you don't currently own an Echo device, start by thinking carefully about how you plan to use it.Many Alexa skills fall into one of two broad categories: those that rely heavily on the speaker and those that don't.For example, features that benefit from good sound quality include playing music/newscasts/podcasts, the drop-in feature, and hands-free calling.(This is why I chose an Echo Plus for my kitchen - I use it every morning to listen to the news.)If you plan to use your device largely for these type of features, you would probably appreciate the better sound of the Echo or Echo Plus.On the other hand, if plan to use the Echo mainly for ""non-listening"" purposes such as voice-controlling your smart home devices, then the sound quality isn't as important and a Dot is probably all you need.In fact, you could even save some money by purchasing a 2nd generation Dot instead -- especially if it's not going to be in a highly visible location or you don't mind its shiny plastic look.I have several ""single-purpose"" Dots in my house in rooms where I want to voice-control one thing, such as a lamp in the room, and 2nd generations Dots are just fine for this -- and now that their price has gone down they are a great value!==========Bottom line==========The Echo Dot is an extraordinarily useful and versatile device -- one that becomes more useful all the time as Alexa's skill set expands.The 3rd Generation model has a great new look, but despite marginal improvements in the speaker, it's still pretty unsatisfying as a playback device for music ornewscasts.As long as you are willing to accept its acoustic limitations, the Dot can be a wonderful device to have in your home.And if you DO want better sound quality for the features you use most often, you can always connect the Dot to your own sound system via Bluetooth or the 3.5-mm audio jack.Hope this was helpful!",1
"October 15, 2018","the United States","5","Love my echo dot! So helpful and the GGMM D3battery base makes it portable!","<U+00A0>I love my echo dot. I have four of them and they really help make my life easier. They can control almost everything, lights, locks TV, music, thermostat. It hears you almost all of the time and I've run into very few issues with it overall. I really couldn't ask for a more helpful device. It's even more handy when I found that I could get a battery base for it. The GGMM D3 base that I found lets me carry the alexa dot around pretty much anywhere. I love that I can take it into the bathroom with me and listen to music while I shower or take it outside and listen to music. That's really the only thing I think it was missing.",1
"October 15, 2018","the United States","3","Overall improvement, but lost its flexibility","I have 5 Echo Dots (gen 2) and we use them throughout the house for just about everything, being we have a fairly smart home. What I liked about the gen 2 versions, were that they were compact and very flexible on how you could use them. They were easy to mount in different positions and being that they used a fairly standard USB interface for the power, you could really be flexible on how and where you mounted them. The one thing that they really missed on? The well known sound quality.Enter the Gen 3...I really like the improvement in sound. Sure it is not a high quality speaker system, but for the size it is pretty good. Especially when you consider that you can pair them and add a sub for pretty good sound. The look is improved over the gen 2, however it does lose a little bit of the customability that the gen 2 had. With the gen 2, you could purchase different wraps, stands, clock mounts, wall mounts, etc. You could really customize it. The gen 3 is a bit bigger and has a much more rounded shape. While it makes it look better by itself, it lacks the ability to really customize it. It surely would not work as a power socket mount, like you could do with the gen 2, just due to the additional weight.That is before you get to the horrendous power cord and adapter. The power adapter is twice as big as the gen 2 and the power cord went away from the, easy to find, usb style cord to a old style input style and it is permanently attached to the power adapter. This is really my biggest complaint as it took away so much flexibility, that you could enjoy with the gen 2. Don't get me wrong, I am sure there will be several new cords and adapters put out to fill the gap, but that is not as easy as using cords many already have. Just makes no sense. Not to mention the cord is really long, so in areas where you want it to be a bit more discreet, this thing sticks out like a sore thumb.What I like...Sound Quality is a step upSound Volume is much improvedBase look is much improvedWhat I dislike...Much less flexibility on how it is used versus previous versionNon-standard power cordBulky adapterUgly long cord",1
"October 15, 2018","the United States","5","Actually impressed.","I was debating between this and the regular echo. I've had both and we both know what the echo does so all I'll talk about is the sound quality.I'm going to get to the chase. This is the BEST speaker I've ever heard for under $50. The functions of the echo along with the music playing functionality and the sound quality makes it a steal at this price point.The sound is great for its size. It can get pretty loud but the bass is definitely lacking. The bass isn't god awful but it just isn't there.Now I will say this... if your primary motivation for a speaker is to listen to music, go with the echo. If it is but your budget is under $50 then go with the dot. It won't blow anyone away during a get together in your living room but it'll get the job done. The dot will only flourish is an enclosed space. It needs walls nearby to bounce off to cover up the weakness of the bass.If I had to compare the sound to another speaker, I'd say the UE Wonderboom or the older Beats Pill, all of which suffer from weak bass. For the size, I was impressed by the sound but with the Echo at its refurbished price of $69 I'll have to aim towards that direction.I'd recommend this for someone who needs an echo for their kitchen, bedroom or bathroom. It's just not going to hold down a living room unfortunately but overall, I like the sound and if I need a second echo, I'll definitely get a dot.",1
"October 15, 2018","the United States","5","Nueva amiga!","Es una ayuda sin reservas.A medianoche le pido a Alexa que toque musica para relajarme y ahi esta Alexa.Cuando necesito info. del tiempo, ahi esta Alexa.Cuando necesito que alguien, sin tener que rogar, me deje saber que en 15 minutos la comida esta lista pues quien crees que esta dejandome saber, Alexa mi nueva amiga.Ah, tambien me lee libros mientras hago mis quehaceres en la casa!",1
"October 15, 2018","the United States","1","Unable to access alexa app","After following the instructionsto add the alexa app I received a message that there was a problem.I tried again, and again.Finally I was referred to a website called 'fix it'.There I wastold by the 'techs'that my Amazon account was in jeopardy and that I needed to buy a fire wall from them.Then they wanted to sell me some kind of WiFi adapter even though we have WiFi.Hundreds of dollars to activate a $50 item.I don't know why the problem arose to begin with, but I canceled the firewall and ended the hour long ordeal.I was charged $50 for tech time.I am returning the Echo Dot , which is functional as far as I was able to tell.",1
"October 15, 2018","the United States","1","A defect product","Hey, In general I love my Echo, but I got a defect product with a noises while I playing music. After a long chat with Amazon on online support channel they came to conclusion that my Echo device have a problem, there is need to say that I used her only for 2 weeks and only on weekends.I truly love this device but it s*ck that its have this problem, and they couldn't help my case because I do not longer in the U.S, I only visit there every year+ ... even a refund they disagree to offer if they will not shut down the device remotely. My reply for this solution was ""I bought this device to use it, and I don't want to stay with nothing...""I wish there someone else who could help me in this case, I payed good money for this ($53.11) and I got a bad felling afterwards ...the agent in the support channel even asked me to send the device from the country I'm living right nowbut this will cost even more, and he knew that. Another funny solution he offered me is to send the device in one more year and replace it *if* I will visit again in that time frame in the US.",1
"October 15, 2018","the United States","1","Muffled","I bought this to replace my old Echo Dot gen 2. I am very disappointed. Alexa sounds distant and muffled. Music playback and the alarms sound normal. There is something wrong when she speaks and I have to turn the echo dot up. Only problem is, when the alarm goes off in the mornings it¡¯s super loud. Wish they would add new volume settings is this is going to be the norm going forward. Also, very disappointed in Amazon customer service. I was supposed to have a call back yesterday morning between 8:30am-9:3am CST and it never happened. I will be requesting a replacement device and I¡¯m leaving this bad review in part because of the failed customer service promise.",1
"October 15, 2018","the United States","4","The CLOCK for the winnnnn.","<U+00A0>I¡¯ll start by saying that I have owned every version of this Echo dot so far. I also have google home but still prefer the Amazon ecosystem overall. This Echo dot with the clock display was a NO BRAINER for me, I¡¯ve been waiting on a clock feature for a couple years now. This newer version is 90% the same as the original Gen 3 echo dot so I won¡¯t rehash that review again. In short¡¦. This is the SAME as the original gen 3 but this version adds a clock and a few more tweaks related to the clock and display. Here are some highlights below in a nutshell:-Same as original Gen 3...but with a very useful clock!-Sound is powerful and can be heard across any room. Thanks to the EQ in the Alexa app you can tweak the sound even more.-The LED clock is genius! Shows the weather and has adaptive brightness settings.-In my opinion the clock is worth an extra $10 for the Echo dot-LED time/temperature visible from across the room, even in the daytime.Room For Improvement??-Sorry...I¡¯m still not feeling this power cord. A USB-C connector would have been perfect! I¡¯d even take a micro usb connector compared to the default cord.-Why is the power brick so thick?? My Phone charger has even more power than the Echo power brick at half the size *Head scratch*-The sound is definitely an improvement vs the 2nd Gen echo but it feels just a TAD lower compared to the newest google mini (maybe since the mini has front facing speakers)My Verdict? I give this Echo Dot with LED Clock TWO THUMBS UP! Works great for a bedside clock and I have one in the bathroom now as well for morning news and to tell the time.",1
"October 15, 2018","the United States","1","POTENTIALLY THE MOST DANGEROUS DEVICE IN YOUR HOME!","Works to good, apparently while I was asleep I woke up for a few minutes but wasn't really coherent, idk what I said if anything to activate the Alexa controller device however, it recorded several minutes of me babbling on about dropping my medication box all over the floor. It was then sent out to my friends that had a Amazon device, there friends and family and god knows where else, apparently it had used my contacts to send that voice message to my friends, family and everyone in my contacts, it also somehow sent the voice message to my friends contacts and there contacts and so on n so on. I turned off my Amazon Dot that day after several of my friends called me to ask ""What's going on, at 7:00am or so I was woken up by a long babbling message from you, one friend said his sister got it to, idk his sister. Be careful ppl, I've since gone into my Amazon account/Devices/Recordings and found hundreds if not thousands of voice commands,messages etc etc, I deleted them all and deregistered my several devices that I no longer own, I didnt know they stay connected until you remove them and all the data retrieved by them. Very dangerous device if not properly and thoroughly setup completely, read all of the instructions, follow them and, goto a non Amazon site for tips, ideas and what and what ""*NOT TO DO*"", Sincerely, an embarrassed, frustrated and unhappy Amazon Echo Dot 3rd generation (What not to do) previous user.",1
